"LAKE_ID","WATER","basin","PIdrinking","PIrecreation","PIaquatic","eutrophic","mesotrophic","oligotrophic","PWS","Beaches","Classification","ACRES","PWLID","hypo","yrs","CSLAPin2018"
"0903LWO0095","Little Wolf Pond","09",0,0,0,0,11,5,NA,"Yes","B",159.18,"0903-0044","yes",1,NA
"0903SIM0180","Simon Pond","09",0,0,1,0,2,2,NA,"No","B",779.01,"0903-0076",NA,1,NA
"0903STA0035B","Stark Falls Reservoir","09",0,0,0,0,2,2,NA,"No","B",644.6,"0903-0055","yes",1,NA
"0904CED0290","Cedar Lake","09",0,0,0,0,1,3,NA,"No","B",69.1,"0904-0024","yes",1,NA
"0904COO0347","Cook Pond","09",0,0,0,0,4,1,NA,"No","CT",43.7,"0904-0057","yes",1,NA
"0904SIL0351","Silver Lake","09",0,0,1,12,253,73,NA,"No","CT",113.2,"0904-0059","yes",15,"yes"
"0905MOO0071","Moon Lake","09",0,0,2,24,7,1,NA,"No","C",230.48,"0905-0093","yes",2,NA
"0905PAY0068","Payne Lake","09",0,0,0,14,2,0,NA,"No","C",147.97,"0905-0124",NA,1,NA
"0905SYL0088","Sylvia Lake","09",0,0,0,0,0,4,NA,"Yes","AA",314.12,"0905-0132","yes",1,NA
"0905YEL0069","Yellow Lake","09",0,0,2,4,3,0,NA,"No","C",360.53,"0905-0125",NA,2,NA
"0906BLA0001","Black Lake","09",0,143,4,305,98,10,NA,"Yes","B",7747.6,"0906-0001",NA,17,"yes"
"0906BON0024","Lake Bonaparte","09",0,2,0,2,130,159,NA,"No","B",1242.3,"0906-0016","yes",12,"yes"
"0906BUT0054","Butterfield Lake","09",0,57,11,164,327,49,NA,"No","B",969.6,"0906-0020","yes",16,"yes"
"0906CLE0059","Clear Lake","09",0,0,0,0,1,1,NA,"No","B",159.5,"0906-0006","yes",1,NA
"0906GRA0051","Grass Lake","09",0,0,17,31,181,75,NA,"No","C",316.2,"","yes",13,"yes"
"0906MIL0055","Millsite Lake","09",0,1,5,3,93,297,NA,"Yes","B",473.9,"0906-0064","yes",17,"yes"
"0906OTH0009","Lake of the Woods","09",0,0,0,1,17,174,NA,"No","C",168.4,"0906-0038","yes",9,"yes"
