"LAKE_ID","WATER","html","X_Coordinate","Y_Coordinate"
"1301FOR0441","Forest Lake","report_Forest Lake(1301FOR0441).html",-73.460998,42.732101
"1301GLA0394","Glass Lake","report_Glass Lake(1301GLA0394).html",-73.5308,42.623001
"1301HAM0297","Hampton Manor Pond","report_Hampton Manor Pond(1301HAM0297).html",-73.72675,42.61809
"1301HAR1036","Harlem Meer","report_Harlem Meer(1301HAR1036).html",-73.954003,40.796942
"1301HEL0207A","Helderberg Lake","report_Helderberg Lake(1301HEL0207A).html",-74.014456,42.599919
"1301HES0184","Hessian Lake","report_Hessian Lake(1301HES0184).html",-73.991302,41.315399
"1301IND0167","Indian Lake","report_Indian Lake(1301IND0167).html",-73.891416,41.369926
"1301LAW0207","Lawson Lake","report_Lawson Lake(1301LAW0207).html",-73.960946,42.536483
"1301LHUD","Lower Hudson Main Stem","report_Lower Hudson Main Stem(1301LHUD).html",-73.987582,41.503851
"1301LIT0355","Littles Lake","report_Littles Lake(1301LIT0355).html",-73.739952,42.697202
"1301LON0428","Long Pond","report_Long Pond(1301LON0428).html",-73.450228,42.783124
"1301LTW0189","Lower Twin Lake","report_Lower Twin Lake(1301LTW0189).html",-74.077599,41.317902
"1301MAS0188A","Lake Massawippa","report_Lake Massawippa(1301MAS0188A).html",-74.074097,41.3256
"1301MEA0160","Lake Meahagh","report_Lake Meahagh(1301MEA0160).html",-73.9506,41.253502
"1301MIL0426","Mill Pond","report_Mill Pond(1301MIL0426).html",-73.449203,42.775299
"1301MIR0433","Mirror Lake","report_Mirror Lake(1301MIR0433).html",-73.9698,41.8663
"1301MIT0162A","Lake Mitchell","report_Lake Mitchell(1301MIT0162A).html",-73.917999,41.281399
"1301MOH0179","Lake Mohegan","report_Lake Mohegan(1301MOH0179).html",-73.853137,41.317082
"1301MORXXX1","Morningside Pond","report_Morningside Pond(1301MORXXX1).html",-73.958943,40.803761
"1301MUC0333","Muchattoes Lake","report_Muchattoes Lake(1301MUC0333).html",-74.030998,41.496899
"1301OLA0963","Olana Pond","report_Olana Pond(1301OLA0963).html",-73.832213,42.212209
"1301OLAXXX1","Olana Route 9 Pond 1","report_Olana Route 9 Pond 1(1301OLAXXX1).html",-73.83625,42.208111
"1301OLAXXX2","Olana Route 9 Pond 2","report_Olana Route 9 Pond 2(1301OLAXXX2).html",NA,NA
"1301OLAXXX3","Olana Route 9 Pond 3","report_Olana Route 9 Pond 3(1301OLAXXX3).html",NA,NA
"1301ORA0340","Orange Lake","report_Orange Lake(1301ORA0340).html",-74.103699,41.548801
"1301OSC0175","Oscawana Lake","report_Oscawana Lake(1301OSC0175).html",-73.848801,41.396
"1301OSS0183D","Lake Ossi","report_Lake Ossi(1301OSS0183D).html",-73.760498,41.415901
"1301PEE0171","Lake Peekskill","report_Lake Peekskill(1301PEE0171).html",-73.885514,41.336981
"1301POC0030","Pocantico Lake","report_Pocantico Lake(1301POC0030).html",-73.83746,41.11486
"1301POP0191","Popolopen Lake","report_Popolopen Lake(1301POP0191).html",-74.054053,41.35955
"1301PUD5194","Pudding Street Pond","report_Pudding Street Pond(1301PUD5194).html",-73.789398,41.442902
"1301QUE0184A","Queensboro Lake","report_Queensboro Lake(1301QUE0184A).html",-74.028801,41.310001
"1301REI0382","Reichards Lake","report_Reichards Lake(1301REI0382).html",-73.594698,42.652211
"1301REN0336","Rensselaer Lake","report_Rensselaer Lake(1301REN0336).html",-73.838097,42.6987
"1301ROA0183B","Roaring Brook Lake","report_Roaring Brook Lake(1301ROA0183B).html",-73.809355,41.437702
"1301SEC0150B","Second Reservoir","report_Second Reservoir(1301SEC0150B).html",-74.073601,41.208599
"1301SEC0427","Second Pond","report_Second Pond(1301SEC0427).html",-73.447601,42.7799
"1301SEP0826","Sepasco Lake","report_Sepasco Lake(1301SEP0826).html",-73.837601,41.959801
"1301SHA0424","Shaver Pond","report_Shaver Pond(1301SHA0424).html",-73.457298,42.779598
"1301SIL0184C","Silver Mine Lake","report_Silver Mine Lake(1301SIL0184C).html",-74.054901,41.290402
"1301SLE6666","Sleepy Hollow Lake","report_Sleepy Hollow Lake(1301SLE6666).html",-73.80938,42.286246
"1301SNY0377","Snyders Lake","report_Snyders Lake(1301SNY0377).html",-73.63521,42.66218
"1301STI0183C","Stillwater Pond","report_Stillwater Pond(1301STI0183C).html",-73.821297,41.444
"1301STI0187A","Stillwell Lake","report_Stillwell Lake(1301STI0187A).html",-74.03263,41.34426
"1301SUM0193","Summit Lake","report_Summit Lake(1301SUM0193).html",-74.096001,41.310299
"1301SWA0030A","Swan Lake","report_Swan Lake(1301SWA0030A).html",-73.836019,41.105557
"1301TAR0015A","Tarrytown Reservoir","report_Tarrytown Reservoir(1301TAR0015A).html",-73.842003,41.082401
"1301TEA0188B","Lake Te-Ata","report_Lake Te-Ata(1301TEA0188B).html",-74.079903,41.3195
"1301THE1027","The Pond in Central Park","report_The Pond in Central Park(1301THE1027).html",-73.975,40.7658
"1301THE1029","The Lake in Central Park","report_The Lake in Central Park(1301THE1029).html",-73.973435,40.774945
"1301THE1034","The Pool","report_The Pool(1301THE1034).html",-73.961417,40.794858
"1301THI0150J","Third Reservoir","report_Third Reservoir(1301THI0150J).html",-74.086502,41.206501
"1301TIB0183E","Lake Tibet","report_Lake Tibet(1301TIB0183E).html",-73.778198,41.451199
"1301TIV0309","Tivoli Lake","report_Tivoli Lake(1301TIV0309).html",-73.761355,42.670151
"1301TOM0150I","Tomkins Lake","report_Tomkins Lake(1301TOM0150I).html",-73.990303,41.271599
"1301UTW0190","Upper Twin Lake","report_Upper Twin Lake(1301UTW0190).html",-74.082199,41.3111
"1301UWB0155D","Lake Woodrock","report_Lake Woodrock(1301UWB0155D).html",-73.892502,41.239799
"1301UWB0159B","Unnamed Pond at Stony Point Battlefield","report_Unnamed Pond at Stony Point Battlefield(1301UWB0159B).html",-73.981499,41.240501
"1301UWB0168F","Unnamed Water","report_Unnamed Water(1301UWB0168F).html",-73.859497,41.430599
"1301UWB0168G","Unnamed Water","report_Unnamed Water(1301UWB0168G).html",-73.850304,41.4403
"1301UWB0354","Unnamed Water","report_Unnamed Water(1301UWB0354).html",-73.83182,42.69681
"1301UWB0391B","Marcy Street Pond","report_Marcy Street Pond(1301UWB0391B).html",-73.560204,42.6338
"1301UWB0420B","Fall Kill Pond","report_Fall Kill Pond(1301UWB0420B).html",-73.898641,41.737755
"1301UWB1031","Turtle Pond","report_Turtle Pond(1301UWB1031).html",-73.9681,40.7796
"1301UWB5186","Sugar Pond","report_Sugar Pond(1301UWB5186).html",-73.869301,40.997501
"1301VAN1043","Van Cortlandt Lake","report_Van Cortlandt Lake(1301VAN1043).html",-73.890999,40.8899
"1301VLY0262A","Vly Creek Reservoir","report_Vly Creek Reservoir(1301VLY0262A).html",-73.95523,42.61486
"1301VOS0433","Vosburg Pond","report_Vosburg Pond(1301VOS0433).html",-73.5606,42.656898
"1301WAL0165","Wallace Pond","report_Wallace Pond(1301WAL0165).html",-73.932503,41.315399
"1301WAS0302","Washington Park Pond","report_Washington Park Pond(1301WAS0302).html",-73.7733,42.657101
"1301WEL0150C","Lake Welch","report_Lake Welch(1301WEL0150C).html",-74.076312,41.2315
"1301WELXXX1","Lake Welch Lagoon","report_Lake Welch Lagoon(1301WELXXX1).html",-74.069781,41.233074
"1301WHI0429","White Lily Pond","report_White Lily Pond(1301WHI0429).html",-73.428001,42.7803
"1302BAR0071","Barrett Pond","report_Barrett Pond(1302BAR0071).html",-73.740601,41.434399
