LakeID,Y_Coordinate,X_Coordinate
0102ATT0020,42.8326,-78.2595
0102ATT0020A,42.7859,-78.2266
1203ATW0842,43.3649,-74.8978
1004AUG0213,44.4578,-73.5014
1104AUS0516,43.6763,-73.9643
1102AUS1106,42.8784,-73.4605
1104AVA0707,44.1332,-73.9668
1701AVO0961,40.6742,-73.4134
1201AYE0746,43.2034,-74.6068
1001BAB0281,44.4141,-73.4516
1102BAB1109,42.8168,-73.3995
1203BAB0876,43.4979,-74.8156
1310BAC0059,42.4818,-73.5841
1005BAC0427,43.4009,-73.5984
1003BAD5364,44.3403,-74.3661
0601BAI0400,42.8196,-74.9730
1402BAI0040B,41.6894,-74.6682
1104BAI0397,43.8738,-73.9053
0601BAI0184A,42.3470,-75.4901
1701BAI1033,40.6776,-73.7856
0902BAK5131,44.6955,-74.5218
0902BAK0187,44.5161,-74.2907
0703BAK5310,43.0745,-75.6718
0703BAK5309,43.0746,-75.6694
1302BAK0128M,41.1991,-73.8296
0801BAL0783,43.7315,-74.9234
1202BAL0627,42.5509,-74.5972
1104BAL0555,43.8542,-74.0103
1302BAL0064A,41.5161,-73.7051
1302BAL0089O,41.5402,-73.6374
1101BAL1090,42.9388,-73.8578
1101BAL0044,43.0531,-73.8455
1101BAL0054,43.0288,-73.8435
0801BAL0837,43.6300,-74.7924
1403BAL0349,42.0274,-74.6031
1203BAL0909,43.5360,-74.5998
1401BAL5226,41.5907,-74.9022
0904BAL0364,44.2526,-74.7547
0602BAL5644,42.5330,-75.8238
1102BAN1108,42.8181,-73.4171
1301BAR0181,41.3595,-73.8127
1104BAR0636,43.8534,-74.3320
1103BAR0085,43.2396,-73.3934
1702BAR1108,41.2704,-71.9901
0801BAR0905,43.5661,-75.2269
1301BAR0192B,41.3259,-74.0809
1104BAR0386,43.8570,-73.9687
1003BAR0035,44.6322,-73.8599
0903BAR0014,44.4719,-74.8049
1401BAR0220,41.6994,-74.9787
0902BAR0262,44.4600,-74.2595
1304BAR0345I,41.4642,-73.9238
1302BAR0071,41.4344,-73.7406
1310BAR0045,42.3372,-73.4736
1003BAR5374,44.2502,-74.2827
1004BAR0255,44.3333,-74.0195
1005BAR0338,44.1065,-73.5108
1201BAR0787,43.3766,-74.6921
1402UWB5050,41.5200,-74.5417
1309BAS0950A,42.4812,-74.0139
1401BAS0262,41.8925,-75.0050
1401BAS0264,41.9215,-75.0921
1003BAS0051,44.5678,-74.0681
1104BAS0464,43.9767,-73.6824
0905BAS0330,44.0881,-74.8686
0601BAS5829,42.7527,-75.1226
1202BAT5450,42.2883,-74.1746
1104BAT0675,43.9295,-74.2146
