row,LAKE_ID,WATER,X_Coordinate,Y_Coordinate,link,availability
54,0201RED0095B,Red House Lake,-78.745892,42.104343,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Red%20House%20Lake(0201RED0095B).html?csf=1&e=Xxz1fg,available
56,0201SCI0090B,Science Lake,-78.766197,42.011101,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Science%20Lake(0201SCI0090B).html?csf=1&e=Xxz1fg,available
59,0202BEA0131,Bear Lake,-79.38433,42.348009,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Bear%20Lake(0202BEA0131).html?csf=1&e=Xxz1fg,available
60,0202CHA0122,Chautauqua Lake,-79.325384,42.121896,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Chautauqua%20Lake(0202CHA0122).html?csf=1&e=Xxz1fg,available
61,0202CLY0150,Clymer Pond,-79.62574,42.01374,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Clymer%20Pond(0202CLY0150).html?csf=1&e=Xxz1fg,available
62,0202FIN0153,Findley Lake,-79.7262,42.1019,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Findley%20Lake(0202FIN0153).html?csf=1&e=Xxz1fg,available
63,0202LCA0133,Lower Cassadaga Lake,-79.3174,42.34503,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lower%20Cassadaga%20Lake(0202LCA0133).html?csf=1&e=Xxz1fg,available
65,0202MCA0135,Middle Cassadaga Lake,-79.3252,42.34634,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Middle%20Cassadaga%20Lake(0202MCA0135).html?csf=1&e=Xxz1fg,available
66,0202NEW5669,New Albion Lake,-78.91524,42.30303,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_New%20Albion%20Lake(0202NEW5669).html?csf=1&e=Xxz1fg,available
67,0202UCA0136,Upper Cassadaga Lake,-79.32547,42.35751,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Upper%20Cassadaga%20Lake(0202UCA0136).html?csf=1&e=Xxz1fg,available
70,0202UWB5582,Unnamed Water,-79.53078,42.08923,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Unnamed%20Water(0202UWB5582).html?csf=1&e=Xxz1fg,available
71,0202UWB5604,Unnamed Water,-79.72377,42.17538,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Unnamed%20Water(0202UWB5604).html?csf=1&e=Xxz1fg,available
72,0202WMU0145,West Mud Lake,-79.1779,42.40199,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_West%20Mud%20Lake(0202WMU0145).html?csf=1&e=Xxz1fg,available
73,0300ONT0000,Lake Ontario,-77.64602,43.27434,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lake%20Ontario(0300ONT0000).html?csf=1&e=Xxz1fg,available
74,0301BON0190B,Bond Lake,-78.91695,43.18136,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Bond%20Lake(0301BON0190B).html?csf=1&e=Xxz1fg,available
