LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
,Dryden Lake,Tompkins,Dryden,0705DRY0318,42.462,-76.2726,,,,,,
66,Duane Lake,Schenectady,Duanesburg,1311DUA0276A,42.7491,-74.1126,,,,,,
44,Duck Lake,Cayuga,Conquest,0705DUC0222,43.1469,-76.6898,,,,,,
,Durand Lake,Monroe,Rochester,0302DUR0148A,43.2333,-77.5576,,,,,,
15,Eagle Crag Lake,St. Lawrence,Tupper Lake,0903EAG0080,44.1738,-74.6101,,,,,,
169,Eagle Lake,Essex,Ticonderoga,1104EAG0438,43.8818,-73.5829,,,,,,
215,Eagle Pond,Franklin,Duane,0902EAG0083,44.669,-74.2738,,,,,,
,East Bay,Wayne,Wolcott,0302EAS0093,43.2901,-76.8919,,,,,,
67,East Caroga Lake,Fulton,Caroga,1201ECA0697,43.1278,-74.48,,,,,,
,Eastman Lake,Monroe,Rochester,0302EAS0148E,43.2332,-77.5631,,,,,,
39,Eatonbrook Reservoir,Madison,West Eaton,0602EAT0163,42.8591,-75.699,,,,,,
81,Echo Lake,Chenango,Smithville,0602ECH0081,42.3863,-75.8507,,,,,,
124,Effley Falls Lake,Lewis,Croghan,0801UWB0427,43.9209,-75.2667,,,,,,
131,Efner Lake,Saratoga,Corinth,1104EFN0129,43.2663,-73.9286,,,,,,
,Eighth Lake,Hamilton,Inlet,0801EIG0790,43.779,-74.7024,,,,,,
,Eldridge Pond,Chemung,Elmira,0501ELD0014,42.1138,-76.817,,,,,,
,Elk Lake,Essex,North Hudson,1104ELK0460,44.0308,-73.8246,,,,,,
,Enchanted Pond (P N. OF OLD FORGE ON LAND OWNED BY WATER PARK),Herkimer,Webb,0801UWB5515,43.7225,-74.9653,,,,,,
,Engleville Pond - Lower,Schoharie,Sharon,1202UWB0589A,42.7601,-74.6478,,,,,,
,Engleville Pond - Upper,Schoharie,Sharon,1202ENG0589,42.757,-74.6523,,,,,,
,Erwin Pond,Steuben,Erwin,0503ERW0023B,42.1577,-77.1712,,,,,,
,Evens Lake,Sullivan,Loch Sheldrake,1402EVE0050A,41.765,-74.6524,,,,,,
,Fairport West Reservoir,Ontario,East Bloomfield,0704FAI0263A,42.9374,-77.4378,,,,,,
,Fall Kill Pond,Dutchess,Hyde Park,1301UWB0420B,41.7412,-73.8974,,,,,,
,Fifth Lake (Essex Chain),Essex,Newcomb,1104FIF0626C,43.8893,-74.2326,,,,,,
24,Findley Lake,Chautauqua,Findley Lake,0202FIN0153,42.1019,-79.7262,,,,,,
183,Forest Lake,Rensselaer,Grafton,1301FOR0441,42.7321,-73.461,,,,,,
,Francis Pond,Oswego,Constantia,0703FRA0035,43.2887,-75.935,,,,,,
,Fredonia Reservoir,Chautauqua,Fredonia,0105FRE0160,42.392,-79.3111,,,,,,
258,Fresh Pond,Suffolk,Shelter Island,1701FRE0458,41.0575,-72.3358,,,,,,
82,Friends Lake,Warren,Chester,1104FRI0365,43.6259,-73.844,,,,,,
,Fulton Fifth Lake,,,,,,,,,,,
,Fulton Fourth Lake,Hamilton,Inlet,0801FIF0786,43.748,-74.792,,,,,,
13,Fulton Second Lake,Herkimer,Old Forge,0801SEC0782B,43.7212,-74.9116,,,,,,
,Fulton Sixth Lake,Hamilton,Inlet,0801SIX0787,43.749,-74.7736,,,,,,
,Fulton Third Lake,,,,,,,,,,,
68,Galway Lake,Saratoga,Galway,1201GAL0563,43.0307,-74.0745,,,,,,
56,Garnet Lake,Warren,Johnsburg,1104GAR0520,43.5183,-74.0223,,,,,,
69,Geneganslet Lake,Chenango,McDonough,0602GEN0088,42.5173,-75.7748,,,,,,
247,Glass Lake,Rensselaer,Sand Lake,1301GLA0394,42.623,-73.5308,,,,,,
8,Glen Lake,Warren,Glens Falls,1005GLE0441,43.3636,-73.6732,,,,,,
,Glenmere Lake,Orange,Florida,1306UWB0668A,41.3269,-74.3299,,,,,,
