OBJECTID_12,Join_Count,TARGET_FID,OBJECTID_1,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Acres,Shape_Le_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,SHAPE_AREA_1,Shape_Length,Shape_Area
2212,1,2211,3795,83149,167100099,4/10/2009 0:00,2, , ,0.036,0,2.02E+12,390,39004,0,0.025508517,8.77366408,0.025508515,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.025508515,3.96028E-06
2213,1,2212,3798,83167,120012736,8/22/2012 0:00,2, , ,0.03744225,0,2.0301E+12,436,43624,0,0.009717131,9.246704039,0.00971713,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.00971713,4.00256E-06
2214,1,2213,3800,83232,167103388,4/10/2009 0:00,2, , ,0.035,0,2.02E+12,390,39004,0,0.00949131,8.693614185,0.009491312,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.009491312,3.91481E-06
2215,1,2214,3803,83237,132875790,5/25/2010 0:00,2, , ,0.073,345.9,4.15031E+12,390,39009,0,0.018482934,17.91276,0.018482936,2-Sep,5129164298,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,4349181503,0.018482936,8.27259E-06
2216,1,2215,3805,83279,159293804,11/3/2007 0:00,2, , ,0.053,0,2.02001E+12,390,39000,0,0.012695541,13.0505135,0.01269554,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.01269554,5.78121E-06
2217,1,2216,3806,83296,167103389,4/10/2009 0:00,2, , ,0.027,0,2.02E+12,390,39004,0,0.01204896,6.786490546,0.012048957,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.012048957,3.05549E-06
2218,1,2217,3807,83298,167102177,4/10/2009 0:00,2, , ,0.031,0,2.02E+12,390,39004,0,0.011094893,7.723891856,0.011094894,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.011094894,3.49306E-06
2219,1,2218,3810,83340,149189465,6/14/2006 0:00,2, , ,0.187,0,2.02001E+12,390,39004,0,0.030859589,46.1290705,0.030859588,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.030859588,2.02889E-05
2220,1,2219,3812,83361,89364599,4/10/2009 0:00,2,952710,Hidden Lake,0.122,387.1,2.02E+12,390,39009,0,0.021626194,30.22873,0.021626193,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.021626193,1.36748E-05
2221,1,2220,3814,83389,37094905,2/1/2007 0:00,2,946599,Lake Chloe,0.026,104.2,2.02001E+12,390,39009,0,0.006776414,6.512202299,0.006776414,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.006776414,2.859E-06
2222,1,2221,3815,83395,52854927,11/4/2007 0:00,2, , ,0.033,75.6,2.02001E+12,390,39009,0,0.009997363,8.177842383,0.009997363,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.009997363,3.59832E-06
2223,1,2222,3816,83413,89363121,4/10/2009 0:00,2,943923,Big Marsh,0.061,525,2.02E+12,390,39009,0,0.018904773,14.9934726,0.018904767,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.018904767,6.80291E-06
2224,1,2223,3821,83608,167102542,4/10/2009 0:00,2, , ,0.026,0,2.02E+12,390,39004,0,0.012213726,6.475901528,0.012213723,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.012213723,2.9156E-06
2225,1,2224,3826,83664,52847563,8/23/2002 0:00,2, , ,0.039,0,2.02001E+12,436,43625,0,0.008753926,9.624521101,0.008753926,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.008753926,4.26813E-06
2226,1,2225,3827,83680,89363617,4/10/2009 0:00,2, , ,0.129,375,2.02E+12,390,39009,0,0.02751549,31.8132228,0.027515492,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.027515492,1.44192E-05
2227,1,2226,3830,83728,159294142,11/4/2007 0:00,2, , ,0.035,0,2.02001E+12,390,39004,0,0.011230428,8.534627649,0.011230428,13-08,596029146.2,Roeliff-Jensen Kill,13,Lower Hudson River Basin,555891159.8,0.011230428,3.76092E-06
2228,1,2227,3831,83732,52853267,8/23/2002 0:00,2, , ,0.103,71.6,2.02001E+12,390,39009,0,0.022024515,25.4596515,0.022024515,13-08,596029146.2,Roeliff-Jensen Kill,13,Lower Hudson River Basin,555891159.8,0.022024515,1.12295E-05
2229,1,2228,3832,83744,53545497,7/14/2009 0:00,2, , ,0.071,0,2.02E+12,390,39004,0,0.044960199,17.6509588,0.044960198,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.044960198,7.86367E-06
2230,1,2229,3833,83745,53545015,4/22/2013 0:00,2, , ,0.028814,85.3,2.02E+12,390,39009,0,0.011200904,7.116066545,0.011200904,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.011200904,3.17308E-06
2231,1,2230,3834,83749,167102591,4/10/2009 0:00,2, , ,0.072,0,2.02E+12,390,39004,0,0.024745655,17.8330481,0.024745659,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.024745659,8.01407E-06
2232,1,2231,3835,83755,167100866,4/10/2009 0:00,2, , ,0.031,0,2.02E+12,390,39004,0,0.010561972,7.664413923,0.010561972,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.010561972,3.47519E-06
2233,1,2232,3837,83775,{b8e117d9-8d9e-413b-baf2-da2e95f465ee},8/22/2012 0:00,2, , ,0.38899157,0,2.0301E+12,390,39000,0,0.056347539,96.0693187,0.056347541,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.056347541,4.19094E-05
2234,1,2233,3838,83817,167261263,7/14/2009 0:00,2, , ,0.038,0,2.02E+12,390,39004,0,0.010991939,9.507462833,0.01099194,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.01099194,4.23616E-06
2235,1,2234,3839,83824,167101774,4/10/2009 0:00,2, , ,0.03,0,2.02E+12,390,39004,0,0.01223087,7.498976625,0.012230873,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.012230873,3.39681E-06
2236,1,2235,3842,83850,55493659,8/22/2012 0:00,2, , ,0.05257213,206.25,2.0301E+12,390,39011,0,0.010601942,12.983902,0.01060194,13-02,986221700.4,Croton,13,Lower Hudson River Basin,931663451.1,0.01060194,5.66545E-06
