OBJECTID *,ACRES,FIN,WATER,SHORELINE_MILES,Shape *,SHAPE.AREA,SHAPE.LEN
9263,63.5,H-139-13-52-P598,Monhagen Lake,1.6,Polygon Z,257055.0574,2496.407114
10408,16.639596,H-240-82-63-1-P579A,Unnamed Water,0.618171,Polygon Z,67338.32374,994.851547
12370,29.802494,H-369-P127-33-1-P152,Cameron Reservoir,1.176449,Polygon Z,120606.8966,1893.314918
169,1954.3,C-25-26-35-5-P254,Lake Placid,21.5,Polygon Z,7908810.734,34568.91158
1137,399.6,H-31-P44-23-P59-6-P62,Middle Branch Reservoir,6.4,Polygon Z,1617274.059,10375.75294
1184,2023.8,H-139-14-P815A,Rondout Reservoir,19,Polygon Z,8190070.744,30536.32502
1474,149.8,H-171-17-21-P839,Cooper Lake,2.4,Polygon Z,606092.1972,3817.847885
1793,0.576792,H-240-127-13-P681A,Fort Plain Reservoir,0.141731,Polygon Z,2334.202868,228.093928
1988,4857.705888,SL-1-P109,Tupper Lake,47.967925,Polygon Z,19658516.91,77197.04679
4946,22.8,D-1-2-A-P3,Reservoir No.1,1.1,Polygon Z,92285.43035,1725.208386
5020,5.6,D-71-P453-2-P461-1-P462,Stamford Reservoir,0.5,Polygon Z,22463.49662,859.900495
7113,13,H-P204,Lusk Reservoir,0.6,Polygon Z,52544.19584,1024.834491
7160,39.1,C-134-4-14-P424,Dolph Pond,1.8,Polygon Z,158196.59,2841.910499
7328,7.5,H-221-4-35-PN292,Delanson Reservoir,0.5,Polygon Z,30365.77003,753.757849
7963,0.9,SL-25-7-P1-3-P50,Carthage Reservoir,0.2,Polygon Z,3686.664976,311.937773
8260,4866834.2,ONT,Lake Ontario,1904.4,Polygon Z,19695458195,3064773.533
8611,32.1,H-221-4-31-PN290,Duanesburg Reservoir,1.7,Polygon Z,129797.8387,2680.640702
8712,23.2,H-139-13-19-P515,Mill Pond,1.5,Polygon Z,93865.29163,2400.905633
11541,51.906614,H-369-P127-21-6-P137,Round Lake,1.623648,Polygon Z,210059.4534,2613.013188
13208,163.018543,LIS-13-P1106,Bryam Lake Reservoir,3.443239,Polygon Z,659715.2749,5541.367505
383,272978.1,E-P5000,Lake Erie,301.3,Polygon Z,1104707652,484886.3358
785,2074,ONT-117-27-34-P44,Hemlock Lake,16.6,Polygon Z,8393219.222,26668.96558
1185,101.5,H-139-13-19-28-P491,Shawangunk Lake,4,Polygon Z,410815.8644,6372.920358
1280,290.9,NJ-12-15-P1007,Tuxedo Lake,4.4,Polygon Z,1177212.298,7027.704677
1288,565.2,H-31-P44-14-P50,Amawalk Reservoir,8,Polygon Z,2287458.771,12945.13169
2023,233.99751,SL-25-P301,Newton Falls Reservoir Lo,6.985395,Polygon Z,946958.1122,11241.92591
2313,96.2,C-86-3-P338,Bartlett Pond,1.9,Polygon Z,389232.9698,3111.659259
2791,70.9,C-119-P398,Pine Lake,2.1,Polygon Z,287088.8887,3459.164847
3284,131.399566,H-240-127-25-P686-4-P689,Vandenburg Pond,3.783686,Polygon Z,531757.3063,6089.264842
3300,250.635767,H-369-P127-21-P136A,Ireland Vly,6.189271,Polygon Z,1014291.02,9960.686166
